,name,link
0,Абрамов Д.Ю.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1158
1,Абрамов Ю.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1159
2,Абросимова Н.М.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=8371
3,Авакянц Л.П.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1160
4,Авдюхина В.М.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1161
5,Авксентьев Ю.И.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1162
6,Акимов В.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1165
7,Акимова О.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=27035
8,Аксенов В.Л.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1167
9,Аксенов В.Н.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=16106
10,Александров А.Ф.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1169
11,Алексеева В.Н.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=8738
12,Алешин Ю.К.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=8739
13,Алешкевич В.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1171
14,Аминева Т.П.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1172
15,Ананьева Н.Г.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1173
16,Ангелуц А.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14224
17,Андреев А.В.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1174
18,Андреев В.Г.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1175
19,Андреев Е.Г.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=16119
20,Андреев П.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14176
21,Андреева Е.С.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=16110
22,Андреева М.А.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=1176
23,Андреева М.С.,https://www.phys.msu.ru//rus/about/staff/index.php?ID=14223
